id,policy_created_time,policy_type,state_name,username
435,2020-04-30,Status of Reopening,Alabama,cniurxv
436,2020-04-08,Restaurant Limits,South Carolina,ynhdxa
437,2020-06-15,Non-Essential Business Closures,California,kwcfpob
438,2020-06-22,Mandatory Quarantine for Travelers,Montana,uzaaqup
439,2020-07-20,Status of Reopening,Wyoming,spjmtvy
440,2020-08-27,Restaurant Limits,Colorado,cfjolp
441,2020-06-27,Non-Essential Business Closures,Arizona,dikmn
442,2020-05-02,Stay at Home Order,South Dakota,epealfjru
443,2020-07-30,Mandatory Quarantine for Travelers,Delaware,epqwkjzn
444,2020-09-28,Restaurant Limits,Ohio,jnqij
445,2020-05-29,Stay at Home Order,Florida,kkelwdcs
446,2020-07-12,Restaurant Limits,Pennsylvania,kzusvwveq
447,2020-05-27,Non-Essential Business Closures,Georgia,gjygdaq
448,2020-04-30,Large Gatherings Ban,New York,nfncjz
449,2020-07-14,Restaurant Limits,California,honlxqdt
450,2020-08-07,Non-Essential Business Closures,Massachusetts,gjygdaq
451,2020-04-02,Restaurant Limits,Hawaii,wkborr
452,2020-09-28,Non-Essential Business Closures,Nebraska,nxzijgbp
453,2020-06-20,Restaurant Limits,Montana,zmzvxy
454,2020-07-30,Restaurant Limits,Illinois,jvfobuyi
455,2020-08-18,Restaurant Limits,Pennsylvania,xgpefedsa
456,2020-05-04,Status of Reopening,Connecticut,fbpenqttm
457,2020-09-18,Stay at Home Order,New Mexico,adthvndl
458,2020-06-20,Restaurant Limits,Hawaii,pkhhhq
459,2020-09-20,Mandatory Quarantine for Travelers,Nebraska,tubqkldz
460,2020-06-06,Stay at Home Order,New Hampshire,honlxqdt
461,2020-06-18,Status of Reopening,Florida,nvnfzzc
462,2020-07-25,Large Gatherings Ban,Idaho,slwhtlcpr
463,2020-05-17,Restaurant Limits,Rhode Island,iojjr
464,2020-06-11,Large Gatherings Ban,California,tkpaxfzq
465,2020-04-10,Mandatory Quarantine for Travelers,Mississippi,kkelwdcs
466,2020-09-05,Non-Essential Business Closures,Missouri,ckafrdc
467,2020-09-14,Restaurant Limits,Iowa,yfwprmojp
468,2020-04-07,Stay at Home Order,Nevada,epealfjru
469,2020-05-07,Restaurant Limits,Connecticut,fubehhu
470,2020-09-08,Large Gatherings Ban,Alaska,uzaaqup
471,2020-05-05,Non-Essential Business Closures,Virginia,wjncso
472,2020-07-11,Non-Essential Business Closures,California,tocnff
473,2020-04-06,Mandatory Quarantine for Travelers,Hawaii,agwbamz
474,2020-08-14,Status of Reopening,West Virginia,iljakqa
475,2020-07-06,Stay at Home Order,Iowa,ydvtqxy
476,2020-09-18,Mandatory Quarantine for Travelers,Alaska,dqstu
477,2020-09-05,Mandatory Quarantine for Travelers,Texas,dqstu
478,2020-05-09,Restaurant Limits,Nevada,ctpvrfwp
479,2020-09-13,Mandatory Quarantine for Travelers,Rhode Island,swjgvyqm
480,2020-08-13,Large Gatherings Ban,North Dakota,snnnsa
481,2020-07-10,Large Gatherings Ban,Rhode Island,nvnfzzc
482,2020-05-31,Mandatory Quarantine for Travelers,South Carolina,nmyynf
483,2020-06-25,Stay at Home Order,New Mexico,gpozxuy
484,2020-10-01,Mandatory Quarantine for Travelers,Arizona,vceaav
485,2020-04-30,Status of Reopening,Alabama,qrpvgaxl
486,2020-04-08,Restaurant Limits,South Carolina,cfjolp
487,2020-06-15,Non-Essential Business Closures,California,bkfntg
488,2020-06-22,Mandatory Quarantine for Travelers,Montana,epqwkjzn
489,2020-07-20,Status of Reopening,Wyoming,eygeh
490,2020-08-27,Restaurant Limits,Colorado,mboznhi
491,2020-06-27,Non-Essential Business Closures,Arizona,phscvqlgd
492,2020-05-02,Stay at Home Order,South Dakota,wsfhwudy
493,2020-07-30,Mandatory Quarantine for Travelers,Delaware,kedacygmi
494,2020-09-28,Restaurant Limits,Ohio,gmylw
495,2020-05-29,Stay at Home Order,Florida,piovcja
496,2020-07-12,Restaurant Limits,Pennsylvania,wxnrabwfm
497,2020-05-27,Non-Essential Business Closures,Georgia,smnpcwj
498,2020-04-30,Large Gatherings Ban,New York,ygfcxtab
499,2020-07-14,Restaurant Limits,California,irgwtald
500,2020-08-07,Non-Essential Business Closures,Massachusetts,mhglttlcr
501,2020-04-02,Restaurant Limits,Hawaii,ynhdxa
502,2020-09-28,Non-Essential Business Closures,Nebraska,wxnrabwfm
503,2020-06-20,Restaurant Limits,Montana,ynhdxa
504,2020-07-30,Restaurant Limits,Illinois,iztgagei
505,2020-08-18,Restaurant Limits,Pennsylvania,qhntpaf
506,2020-05-04,Status of Reopening,Connecticut,ybzsnnaew
507,2020-09-18,Stay at Home Order,New Mexico,mabvjzzor
508,2020-06-20,Restaurant Limits,Hawaii,irgwtald
509,2020-09-20,Mandatory Quarantine for Travelers,Nebraska,yfwprmojp
510,2020-06-06,Stay at Home Order,New Hampshire,iojjr
511,2020-06-18,Status of Reopening,Florida,mbfjwy
512,2020-07-25,Large Gatherings Ban,Idaho,moxvu
513,2020-05-17,Restaurant Limits,Rhode Island,yfwprmojp
514,2020-06-11,Large Gatherings Ban,California,ftmjep
515,2020-04-10,Mandatory Quarantine for Travelers,Mississippi,dzgvfzz
516,2020-09-05,Non-Essential Business Closures,Missouri,fubehhu
517,2020-09-14,Restaurant Limits,Iowa,xeccg
518,2020-04-07,Stay at Home Order,Nevada,moxvu
519,2020-05-07,Restaurant Limits,Connecticut,mhglttlcr
520,2020-09-08,Large Gatherings Ban,Alaska,usykgh
521,2020-05-05,Non-Essential Business Closures,Virginia,xeccg
522,2020-07-11,Non-Essential Business Closures,California,zmzvxy
523,2020-04-06,Mandatory Quarantine for Travelers,Hawaii,xzwflsd
524,2020-08-14,Status of Reopening,West Virginia,hrlfga
525,2020-07-06,Stay at Home Order,Iowa,mznus
526,2020-09-18,Mandatory Quarantine for Travelers,Alaska,mbfjwy
527,2020-09-05,Mandatory Quarantine for Travelers,Texas,sdhacub
528,2020-05-09,Restaurant Limits,Nevada,jxvxcu
529,2020-09-13,Mandatory Quarantine for Travelers,Rhode Island,spjmtvy
530,2020-08-13,Large Gatherings Ban,North Dakota,tbtbi
531,2020-07-10,Large Gatherings Ban,Rhode Island,twhtpy
532,2020-05-31,Mandatory Quarantine for Travelers,South Carolina,cyzmonh
533,2020-06-25,Stay at Home Order,New Mexico,mboznhi
534,2020-10-01,Mandatory Quarantine for Travelers,Arizona,yfwprmojp
535,2020-04-30,Status of Reopening,Alabama,slwhtlcpr
536,2020-04-08,Restaurant Limits,South Carolina,jxvxcu
537,2020-06-15,Non-Essential Business Closures,California,gpvvf
538,2020-06-22,Mandatory Quarantine for Travelers,Montana,rafrwtuj
539,2020-07-20,Status of Reopening,Wyoming,uiyzjt
540,2020-08-27,Restaurant Limits,Colorado,wovwkrwhr
541,2020-06-27,Non-Essential Business Closures,Arizona,pkhhhq
542,2020-05-02,Stay at Home Order,South Dakota,czrwhvek
543,2020-07-30,Mandatory Quarantine for Travelers,Delaware,gjgcws
544,2020-09-28,Restaurant Limits,Ohio,thaknfgjo
545,2020-05-29,Stay at Home Order,Florida,qpzdgam
546,2020-07-12,Restaurant Limits,Pennsylvania,vceaav
547,2020-05-27,Non-Essential Business Closures,Georgia,nfncjz
548,2020-04-30,Large Gatherings Ban,New York,irlanzxsw
549,2020-07-14,Restaurant Limits,California,tndagv
550,2020-08-07,Non-Essential Business Closures,Massachusetts,ygfcxtab
551,2020-04-02,Restaurant Limits,Hawaii,gjgndyd
552,2020-09-28,Non-Essential Business Closures,Nebraska,ahrzckr
553,2020-06-20,Restaurant Limits,Montana,ortxwrs
554,2020-07-30,Restaurant Limits,Illinois,bjphdiar
555,2020-08-18,Restaurant Limits,Pennsylvania,xgpefedsa
556,2020-05-04,Status of Reopening,Connecticut,cxghe
557,2020-09-18,Stay at Home Order,New Mexico,nmyynf
558,2020-06-20,Restaurant Limits,Hawaii,tndagv
559,2020-09-20,Mandatory Quarantine for Travelers,Nebraska,mpdvpopa
560,2020-06-06,Stay at Home Order,New Hampshire,ldiyqvofg
561,2020-06-18,Status of Reopening,Florida,ldiyqvofg
562,2020-07-25,Large Gatherings Ban,Idaho,ldiyqvofg
563,2020-05-17,Restaurant Limits,Rhode Island,fxgkdjmev
564,2020-06-11,Large Gatherings Ban,California,tbtbi
565,2020-04-10,Mandatory Quarantine for Travelers,Mississippi,qrpvgaxl
566,2020-09-05,Non-Essential Business Closures,Missouri,vceaav
567,2020-09-14,Restaurant Limits,Iowa,wsfhwudy
568,2020-04-07,Stay at Home Order,Nevada,zmzvxy
569,2020-05-07,Restaurant Limits,Connecticut,jnqij
570,2020-09-08,Large Gatherings Ban,Alaska,czahakeu
571,2020-05-05,Non-Essential Business Closures,Virginia,ndkkipwb
572,2020-07-11,Non-Essential Business Closures,California,uzaaqup
573,2020-04-06,Mandatory Quarantine for Travelers,Hawaii,ebolnx
574,2020-08-14,Status of Reopening,West Virginia,ckafrdc
575,2020-07-06,Stay at Home Order,Iowa,usykgh
576,2020-09-18,Mandatory Quarantine for Travelers,Alaska,czrwhvek
577,2020-09-05,Mandatory Quarantine for Travelers,Texas,yfwprmojp
578,2020-05-09,Restaurant Limits,Nevada,jultq
579,2020-09-13,Mandatory Quarantine for Travelers,Rhode Island,nvnfzzc
580,2020-08-13,Large Gatherings Ban,North Dakota,mhglttlcr
581,2020-07-10,Large Gatherings Ban,Rhode Island,aiutsjbl
582,2020-05-31,Mandatory Quarantine for Travelers,South Carolina,mabvjzzor
583,2020-06-25,Stay at Home Order,New Mexico,pfwnr
584,2020-10-01,Mandatory Quarantine for Travelers,Arizona,rloyg
585,2020-04-30,Status of Reopening,Alabama,mgljp
586,2020-04-08,Restaurant Limits,South Carolina,zcuezd
587,2020-06-15,Non-Essential Business Closures,California,zoruamyn
588,2020-06-22,Mandatory Quarantine for Travelers,Montana,lshyh
589,2020-07-20,Status of Reopening,Wyoming,uzaaqup
590,2020-08-27,Restaurant Limits,Colorado,dzxutl
591,2020-06-27,Non-Essential Business Closures,Arizona,aixbu
592,2020-05-02,Stay at Home Order,South Dakota,ahrzckr
593,2020-07-30,Mandatory Quarantine for Travelers,Delaware,ygfcxtab
594,2020-09-28,Restaurant Limits,Ohio,ozebi
595,2020-05-29,Stay at Home Order,Florida,agwbamz
596,2020-07-12,Restaurant Limits,Pennsylvania,ldiyqvofg
597,2020-05-27,Non-Essential Business Closures,Georgia,hzqtjx
598,2020-04-30,Large Gatherings Ban,New York,cfjolp
599,2020-07-14,Restaurant Limits,California,epqwkjzn
600,2020-08-07,Non-Essential Business Closures,Massachusetts,lnoqfd
601,2020-04-02,Restaurant Limits,Hawaii,itmoyzyo
602,2020-09-28,Non-Essential Business Closures,Nebraska,gjgndyd
603,2020-06-20,Restaurant Limits,Montana,vmoga
604,2020-07-30,Restaurant Limits,Illinois,piovcja
605,2020-08-18,Restaurant Limits,Pennsylvania,uqtvzz
606,2020-05-04,Status of Reopening,Connecticut,gpozxuy
607,2020-09-18,Stay at Home Order,New Mexico,wsfhwudy
608,2020-06-20,Restaurant Limits,Hawaii,mbfjwy
609,2020-09-20,Mandatory Quarantine for Travelers,Nebraska,siyfvoohi
610,2020-06-06,Stay at Home Order,New Hampshire,gjgndyd
611,2020-06-18,Status of Reopening,Florida,ihoyarv
612,2020-07-25,Large Gatherings Ban,Idaho,heyhbl
613,2020-05-17,Restaurant Limits,Rhode Island,honlxqdt
614,2020-06-11,Large Gatherings Ban,California,nxzijgbp
615,2020-04-10,Mandatory Quarantine for Travelers,Mississippi,sdhacub
616,2020-09-05,Non-Essential Business Closures,Missouri,usykgh
617,2020-09-14,Restaurant Limits,Iowa,wovwkrwhr
618,2020-04-07,Stay at Home Order,Nevada,gjgcws
619,2020-05-07,Restaurant Limits,Connecticut,yerxuu
620,2020-09-08,Large Gatherings Ban,Alaska,fputxq
621,2020-05-05,Non-Essential Business Closures,Virginia,tkpaxfzq
622,2020-07-11,Non-Essential Business Closures,California,siyfvoohi
623,2020-04-06,Mandatory Quarantine for Travelers,Hawaii,ygfcxtab
624,2020-08-14,Status of Reopening,West Virginia,tkpaxfzq
625,2020-07-06,Stay at Home Order,Iowa,cxghe
626,2020-09-18,Mandatory Quarantine for Travelers,Alaska,sdhacub
627,2020-09-05,Mandatory Quarantine for Travelers,Texas,wbcehugc
628,2020-05-09,Restaurant Limits,Nevada,honlxqdt
629,2020-09-13,Mandatory Quarantine for Travelers,Rhode Island,gmylw
630,2020-08-13,Large Gatherings Ban,North Dakota,ohdbk
631,2020-07-10,Large Gatherings Ban,Rhode Island,rmouvpcqh
632,2020-05-31,Mandatory Quarantine for Travelers,South Carolina,mbfjwy
633,2020-06-25,Stay at Home Order,New Mexico,phfqr
634,2020-10-01,Mandatory Quarantine for Travelers,Arizona,ahrzckr
635,2020-04-30,Status of Reopening,Alabama,mabvjzzor
636,2020-04-08,Restaurant Limits,South Carolina,kmftllsnp
637,2020-06-15,Non-Essential Business Closures,California,gjgndyd
638,2020-06-22,Mandatory Quarantine for Travelers,Montana,adthvndl
639,2020-07-20,Status of Reopening,Wyoming,wbcehugc
640,2020-08-27,Restaurant Limits,Colorado,dzntp
641,2020-06-27,Non-Essential Business Closures,Arizona,qhntpaf
642,2020-05-02,Stay at Home Order,South Dakota,cgbis
643,2020-07-30,Mandatory Quarantine for Travelers,Delaware,rmouvpcqh
644,2020-09-28,Restaurant Limits,Ohio,rloyg
645,2020-05-29,Stay at Home Order,Florida,ktqqr
646,2020-07-12,Restaurant Limits,Pennsylvania,swjgvyqm
647,2020-05-27,Non-Essential Business Closures,Georgia,rxrgeckzc
648,2020-04-30,Large Gatherings Ban,New York,phfqr
649,2020-07-14,Restaurant Limits,California,rafrwtuj
650,2020-08-07,Non-Essential Business Closures,Massachusetts,cvbbem
651,2020-04-02,Restaurant Limits,Hawaii,waitmklgf
652,2020-09-28,Non-Essential Business Closures,Nebraska,dqstu
653,2020-06-20,Restaurant Limits,Montana,dkjrlfyx
654,2020-07-30,Restaurant Limits,Illinois,jbnxa
655,2020-08-18,Restaurant Limits,Pennsylvania,cpjfwrn
656,2020-05-04,Status of Reopening,Connecticut,kkelwdcs
657,2020-09-18,Stay at Home Order,New Mexico,jxvxcu
658,2020-06-20,Restaurant Limits,Hawaii,slysj
659,2020-09-20,Mandatory Quarantine for Travelers,Nebraska,rfjvvtuc
660,2020-06-06,Stay at Home Order,New Hampshire,zcuezd
661,2020-06-18,Status of Reopening,Florida,cpjfwrn
662,2020-07-25,Large Gatherings Ban,Idaho,epqwkjzn
663,2020-05-17,Restaurant Limits,Rhode Island,xrpkexzc
664,2020-06-11,Large Gatherings Ban,California,lmdlbej
665,2020-04-10,Mandatory Quarantine for Travelers,Mississippi,snnnsa
666,2020-09-05,Non-Essential Business Closures,Missouri,mgljp
667,2020-09-14,Restaurant Limits,Iowa,tubqkldz
668,2020-04-07,Stay at Home Order,Nevada,cfjolp
669,2020-05-07,Restaurant Limits,Connecticut,twmetnyj
670,2020-09-08,Large Gatherings Ban,Alaska,jxvxcu
671,2020-05-05,Non-Essential Business Closures,Virginia,bcyljofl
672,2020-07-11,Non-Essential Business Closures,California,lshyh
673,2020-04-06,Mandatory Quarantine for Travelers,Hawaii,uqtvzz
674,2020-08-14,Status of Reopening,West Virginia,ndkkipwb
675,2020-07-06,Stay at Home Order,Iowa,pkhhhq
676,2020-09-18,Mandatory Quarantine for Travelers,Alaska,ybzsnnaew
677,2020-09-05,Mandatory Quarantine for Travelers,Texas,zoruamyn
678,2020-05-09,Restaurant Limits,Nevada,mhglttlcr
679,2020-09-13,Mandatory Quarantine for Travelers,Rhode Island,slwhtlcpr
680,2020-08-13,Large Gatherings Ban,North Dakota,vceaav
681,2020-07-10,Large Gatherings Ban,Rhode Island,rfjvvtuc
682,2020-05-31,Mandatory Quarantine for Travelers,South Carolina,xgpefedsa
683,2020-06-25,Stay at Home Order,New Mexico,sovfygafs
684,2020-10-01,Mandatory Quarantine for Travelers,Arizona,cniurxv
685,2020-04-30,Status of Reopening,Alabama,gjgcws
686,2020-04-08,Restaurant Limits,South Carolina,tocnff
687,2020-06-15,Non-Essential Business Closures,California,tbtbi
688,2020-06-22,Mandatory Quarantine for Travelers,Montana,nvnfzzc
689,2020-07-20,Status of Reopening,Wyoming,oyego
690,2020-08-27,Restaurant Limits,Colorado,rtyzyeecd
691,2020-06-27,Non-Essential Business Closures,Arizona,nofem
692,2020-05-02,Stay at Home Order,South Dakota,tbtbi
693,2020-07-30,Mandatory Quarantine for Travelers,Delaware,irlanzxsw
694,2020-09-28,Restaurant Limits,Ohio,ltquhmlti
695,2020-05-29,Stay at Home Order,Florida,cfjolp
696,2020-07-12,Restaurant Limits,Pennsylvania,phfqr
697,2020-05-27,Non-Essential Business Closures,Georgia,wkborr
698,2020-04-30,Large Gatherings Ban,New York,pqdyirohd
699,2020-07-14,Restaurant Limits,California,ygfcxtab
700,2020-08-07,Non-Essential Business Closures,Massachusetts,gjgndyd
701,2020-04-02,Restaurant Limits,Hawaii,nmyynf
702,2020-09-28,Non-Essential Business Closures,Nebraska,nofem
703,2020-06-20,Restaurant Limits,Montana,agwbamz
704,2020-07-30,Restaurant Limits,Illinois,kmftllsnp
705,2020-08-18,Restaurant Limits,Pennsylvania,jultq
706,2020-05-04,Status of Reopening,Connecticut,xrpkexzc
707,2020-09-18,Stay at Home Order,New Mexico,smnpcwj
708,2020-06-20,Restaurant Limits,Hawaii,ctdfmi
709,2020-09-20,Mandatory Quarantine for Travelers,Nebraska,moxvu
710,2020-06-06,Stay at Home Order,New Hampshire,gpvvf
711,2020-06-18,Status of Reopening,Florida,waitmklgf
712,2020-07-25,Large Gatherings Ban,Idaho,mpdvpopa
713,2020-05-17,Restaurant Limits,Rhode Island,sjrmmmvsr
714,2020-06-11,Large Gatherings Ban,California,lrzmp
715,2020-04-10,Mandatory Quarantine for Travelers,Mississippi,lalbxp
716,2020-09-05,Non-Essential Business Closures,Missouri,btylwxc
717,2020-09-14,Restaurant Limits,Iowa,pkhhhq
718,2020-04-07,Stay at Home Order,Nevada,thaknfgjo
719,2020-05-07,Restaurant Limits,Connecticut,zqoehi
720,2020-09-08,Large Gatherings Ban,Alaska,fxgkdjmev
721,2020-05-05,Non-Essential Business Closures,Virginia,vmoga
722,2020-07-11,Non-Essential Business Closures,California,dzntp
723,2020-04-06,Mandatory Quarantine for Travelers,Hawaii,hrlfga
724,2020-08-14,Status of Reopening,West Virginia,glqagidzq
725,2020-07-06,Stay at Home Order,Iowa,judabf
726,2020-09-18,Mandatory Quarantine for Travelers,Alaska,qrpvgaxl
727,2020-09-05,Mandatory Quarantine for Travelers,Texas,oyego
728,2020-05-09,Restaurant Limits,Nevada,jnqij
729,2020-09-13,Mandatory Quarantine for Travelers,Rhode Island,lrzmp
730,2020-08-13,Large Gatherings Ban,North Dakota,uiyzjt
731,2020-07-10,Large Gatherings Ban,Rhode Island,rseua
732,2020-05-31,Mandatory Quarantine for Travelers,South Carolina,spjmtvy
733,2020-06-25,Stay at Home Order,New Mexico,mpdvpopa
734,2020-10-01,Mandatory Quarantine for Travelers,Arizona,ynhdxa
735,2020-04-30,Status of Reopening,Alabama,dkjrlfyx
736,2020-04-08,Restaurant Limits,South Carolina,sovfygafs
737,2020-06-15,Non-Essential Business Closures,California,cxwjqu
738,2020-06-22,Mandatory Quarantine for Travelers,Montana,mdpnrdqjc
739,2020-07-20,Status of Reopening,Wyoming,kkelwdcs
740,2020-08-27,Restaurant Limits,Colorado,zmzvxy
741,2020-06-27,Non-Essential Business Closures,Arizona,sovfygafs
742,2020-05-02,Stay at Home Order,South Dakota,nxzijgbp
743,2020-07-30,Mandatory Quarantine for Travelers,Delaware,sdhacub
744,2020-09-28,Restaurant Limits,Ohio,lnoqfd
745,2020-05-29,Stay at Home Order,Florida,blpejr
746,2020-07-12,Restaurant Limits,Pennsylvania,aiutsjbl
747,2020-05-27,Non-Essential Business Closures,Georgia,ihoyarv
748,2020-04-30,Large Gatherings Ban,New York,aixbu
749,2020-07-14,Restaurant Limits,California,aifaf
750,2020-08-07,Non-Essential Business Closures,Massachusetts,lrzmp
751,2020-04-02,Restaurant Limits,Hawaii,zmzvxy
752,2020-09-28,Non-Essential Business Closures,Nebraska,blpejr
753,2020-06-20,Restaurant Limits,Montana,ndkkipwb
754,2020-07-30,Restaurant Limits,Illinois,onajodd
755,2020-08-18,Restaurant Limits,Pennsylvania,qqipl
756,2020-05-04,Status of Reopening,Connecticut,wsfhwudy
757,2020-09-18,Stay at Home Order,New Mexico,sovfygafs
758,2020-06-20,Restaurant Limits,Hawaii,mgljp
759,2020-09-20,Mandatory Quarantine for Travelers,Nebraska,cyzmonh
760,2020-06-06,Stay at Home Order,New Hampshire,gjgcws
761,2020-06-18,Status of Reopening,Florida,vbziyaqd
762,2020-07-25,Large Gatherings Ban,Idaho,jnqij
763,2020-05-17,Restaurant Limits,Rhode Island,xrpkexzc
764,2020-06-11,Large Gatherings Ban,California,xgpefedsa
765,2020-04-10,Mandatory Quarantine for Travelers,Mississippi,snnnsa
766,2020-09-05,Non-Essential Business Closures,Missouri,gjgndyd
767,2020-09-14,Restaurant Limits,Iowa,nofem
768,2020-04-07,Stay at Home Order,Nevada,mhglttlcr
769,2020-05-07,Restaurant Limits,Connecticut,jnqij
770,2020-09-08,Large Gatherings Ban,Alaska,lshyh
771,2020-05-05,Non-Essential Business Closures,Virginia,orepyvmc
772,2020-07-11,Non-Essential Business Closures,California,phfqr
773,2020-04-06,Mandatory Quarantine for Travelers,Hawaii,ispix
774,2020-08-14,Status of Reopening,West Virginia,sdhacub
775,2020-07-06,Stay at Home Order,Iowa,aixbu
776,2020-09-18,Mandatory Quarantine for Travelers,Alaska,wbcehugc
777,2020-09-05,Mandatory Quarantine for Travelers,Texas,qeydiiqtb
778,2020-05-09,Restaurant Limits,Nevada,vlyhre
779,2020-09-13,Mandatory Quarantine for Travelers,Rhode Island,ktqqr
780,2020-08-13,Large Gatherings Ban,North Dakota,waitmklgf
781,2020-07-10,Large Gatherings Ban,Rhode Island,wkborr
782,2020-05-31,Mandatory Quarantine for Travelers,South Carolina,irgwtald
783,2020-06-25,Stay at Home Order,New Mexico,dkjrlfyx
784,2020-10-01,Mandatory Quarantine for Travelers,Arizona,irgwtald
785,2020-04-30,Status of Reopening,Alabama,nmyynf
786,2020-04-08,Restaurant Limits,South Carolina,cqpqvld
787,2020-06-15,Non-Essential Business Closures,California,moxvu
788,2020-06-22,Mandatory Quarantine for Travelers,Montana,aixbu
789,2020-07-20,Status of Reopening,Wyoming,orepyvmc
790,2020-08-27,Restaurant Limits,Colorado,qvqkn
791,2020-06-27,Non-Essential Business Closures,Arizona,twmetnyj
792,2020-05-02,Stay at Home Order,South Dakota,cvbbem
793,2020-07-30,Mandatory Quarantine for Travelers,Delaware,wxnrabwfm
794,2020-09-28,Restaurant Limits,Ohio,qeydiiqtb
795,2020-05-29,Stay at Home Order,Florida,hgykucnca
796,2020-07-12,Restaurant Limits,Pennsylvania,waitmklgf
797,2020-05-27,Non-Essential Business Closures,Georgia,dkjrlfyx
798,2020-04-30,Large Gatherings Ban,New York,btylwxc
799,2020-07-14,Restaurant Limits,California,ctdfmi
800,2020-08-07,Non-Essential Business Closures,Massachusetts,irlanzxsw
801,2020-04-02,Restaurant Limits,Hawaii,usykgh
802,2020-09-28,Non-Essential Business Closures,Nebraska,gjgcws
803,2020-06-20,Restaurant Limits,Montana,fbtbvgepe
804,2020-07-30,Restaurant Limits,Illinois,azvzoa
805,2020-08-18,Restaurant Limits,Pennsylvania,phfqr
806,2020-05-04,Status of Reopening,Connecticut,isazd
807,2020-09-18,Stay at Home Order,New Mexico,czahakeu
808,2020-06-20,Restaurant Limits,Hawaii,aixbu
809,2020-09-20,Mandatory Quarantine for Travelers,Nebraska,pfluqftg
810,2020-06-06,Stay at Home Order,New Hampshire,bkfntg
811,2020-06-18,Status of Reopening,Florida,cvccqmrc
812,2020-07-25,Large Gatherings Ban,Idaho,isazd
813,2020-05-17,Restaurant Limits,Rhode Island,iojjr
814,2020-06-11,Large Gatherings Ban,California,sjrmmmvsr
815,2020-04-10,Mandatory Quarantine for Travelers,Mississippi,wxnrabwfm
816,2020-09-05,Non-Essential Business Closures,Missouri,nvnfzzc
817,2020-09-14,Restaurant Limits,Iowa,jnqij
818,2020-04-07,Stay at Home Order,Nevada,zxncxhfp
819,2020-05-07,Restaurant Limits,Connecticut,fagoup
820,2020-09-08,Large Gatherings Ban,Alaska,ycvaedq
821,2020-05-05,Non-Essential Business Closures,Virginia,ebolnx
822,2020-07-11,Non-Essential Business Closures,California,sjrmmmvsr
823,2020-04-06,Mandatory Quarantine for Travelers,Hawaii,ctdfmi
824,2020-08-14,Status of Reopening,West Virginia,ebolnx
825,2020-07-06,Stay at Home Order,Iowa,lshyh
826,2020-09-18,Mandatory Quarantine for Travelers,Alaska,tocnff
827,2020-09-05,Mandatory Quarantine for Travelers,Texas,mhglttlcr
828,2020-05-09,Restaurant Limits,Nevada,ycvaedq
829,2020-09-13,Mandatory Quarantine for Travelers,Rhode Island,rxrgeckzc
830,2020-08-13,Large Gatherings Ban,North Dakota,pkhhhq
831,2020-07-10,Large Gatherings Ban,Rhode Island,ihoyarv
832,2020-05-31,Mandatory Quarantine for Travelers,South Carolina,pkhhhq
833,2020-06-25,Stay at Home Order,New Mexico,kdbxne
834,2020-10-01,Mandatory Quarantine for Travelers,Arizona,hiujeh
835,2020-04-30,Status of Reopening,Alabama,ygfcxtab
836,2020-04-08,Restaurant Limits,South Carolina,pqdyirohd
837,2020-06-15,Non-Essential Business Closures,California,jxvxcu
838,2020-06-22,Mandatory Quarantine for Travelers,Montana,ktqqr
839,2020-07-20,Status of Reopening,Wyoming,qhntpaf
840,2020-08-27,Restaurant Limits,Colorado,glqagidzq
841,2020-06-27,Non-Essential Business Closures,Arizona,moxvu
842,2020-05-02,Stay at Home Order,South Dakota,tocnff
843,2020-07-30,Mandatory Quarantine for Travelers,Delaware,xgpefedsa
844,2020-09-28,Restaurant Limits,Ohio,bjphdiar
845,2020-05-29,Stay at Home Order,Florida,lmdlbej
846,2020-07-12,Restaurant Limits,Pennsylvania,kmftllsnp
847,2020-05-27,Non-Essential Business Closures,Georgia,jnqij
848,2020-04-30,Large Gatherings Ban,New York,psivtfhh
849,2020-07-14,Restaurant Limits,California,mpdvpopa
850,2020-08-07,Non-Essential Business Closures,Massachusetts,aixbu
851,2020-04-02,Restaurant Limits,Hawaii,rafrwtuj
852,2020-09-28,Non-Essential Business Closures,Nebraska,czahakeu
853,2020-06-20,Restaurant Limits,Montana,rfjvvtuc
854,2020-07-30,Restaurant Limits,Illinois,qdjfbdum
855,2020-08-18,Restaurant Limits,Pennsylvania,nmyynf
856,2020-05-04,Status of Reopening,Connecticut,zmzvxy
857,2020-09-18,Stay at Home Order,New Mexico,glqagidzq
858,2020-06-20,Restaurant Limits,Hawaii,bjphdiar
859,2020-09-20,Mandatory Quarantine for Travelers,Nebraska,cpjfwrn
860,2020-06-06,Stay at Home Order,New Hampshire,epealfjru
861,2020-06-18,Status of Reopening,Florida,kzusvwveq
862,2020-07-25,Large Gatherings Ban,Idaho,qrpvgaxl
863,2020-05-17,Restaurant Limits,Rhode Island,uzaaqup
864,2020-06-11,Large Gatherings Ban,California,azvzoa
865,2020-04-10,Mandatory Quarantine for Travelers,Mississippi,lmdlbej
866,2020-09-05,Non-Essential Business Closures,Missouri,xeccg
867,2020-09-14,Restaurant Limits,Iowa,uqtvzz
868,2020-04-07,Stay at Home Order,Nevada,lalbxp
869,2020-05-07,Restaurant Limits,Connecticut,itmoyzyo
870,2020-09-08,Large Gatherings Ban,Alaska,gpozxuy
871,2020-05-05,Non-Essential Business Closures,Virginia,vbziyaqd
