facility_id,facility_name,zipcode,ownership,emergency_service,overall_rating,city_name,state_name
50758,MONTCLAIR HOSPITAL MEDICAL CENTER,91763,Voluntary non-profit - Private,Yes,3,Montclair,California
360152,DOCTORS HOSPITAL,43228,Voluntary non-profit - Church,Yes,4,Columbus,Ohio
161348,CLARKE COUNTY HOSPITAL,50213,Voluntary non-profit - Other,Yes,3,Osceola,Iowa
241374,PIPESTONE COUNTY  MEDICAL CENTER,56164,Government - Local,Yes,Not Available,Pipestone,Minnesota
190307,SOUTH CAMERON MEMORIAL HOSPITAL,70631,Proprietary,Yes,Not Available,Cameron,Louisiana
49005F,1st Medical Group (Langley AFB),23665,Department of Defense,Yes,Not Available,Langley,Virginia
390084,SUNBURY COMMUNITY HOSPITAL,17801,Proprietary,No,3,Sunbury,Pennsylvania
190008,TERREBONNE GENERAL MEDICAL CENTER,70360,Government - Hospital District or Authority,Yes,3,Houma,Louisiana
244014,COMMUNITY BEHAVIORAL HEALTH HOSPITAL - BEMIDJI,56601,Government - State,No,Not Available,Bemidji,Minnesota
184015,CENTRAL STATE HOSPITAL,40223,Government - State,No,Not Available,Louisville,Kentucky
74012,SOUTHWEST CONNECTICUT MENTAL HEALTH,6610,Government - State,No,Not Available,Bridgeport,Connecticut
11305,ST VINCENTS BLOUNT,35121,Voluntary non-profit - Private,No,3,Oneonta,Alabama
461300,DELTA COMMUNITY HOSPITAL,84624,Proprietary,Yes,Not Available,Delta,Utah
320005,SAN JUAN REGIONAL MEDICAL CENTER,87401,Voluntary non-profit - Private,Yes,3,Farmington,NewMexico
154050,NORTHEASTERN CENTER,46706,Voluntary non-profit - Private,No,Not Available,Auburn,Indiana
451384,COGDELL MEMORIAL HOSPITAL,79549,Government - Hospital District or Authority,Yes,3,Snyder,Texas
230144,FOREST HEALTH MEDICAL CENTER,48198,Government - Hospital District or Authority,Yes,Not Available,Ypsilanti,Michigan
460030,ASHLEY REGIONAL MEDICAL CENTER,84078,Proprietary,Yes,4,Vernal,Utah
330044,FAXTON-ST LUKE'S HEALTHCARE,13503,Voluntary non-profit - Private,Yes,1,Utica,NewYork
450723,METHODIST CHARLTON MEDICAL CENTER,75237,Voluntary non-profit - Private,Yes,2,Dallas,Texas
670025,BAYLOR SCOTT & WHITE THE HEART HOSPITAL - PLANO,75093,Proprietary,Yes,5,Plano,Texas
140059,JERSEY COMMUNITY HOSPITAL,62052,Government - Local,Yes,5,Jerseyville,Illinois
194022,LONGLEAF HOSPITAL,71303,Proprietary,No,Not Available,Alexandria,Louisiana
110023,ADVENTHEALTH GORDON,30701,Voluntary non-profit - Church,Yes,4,Calhoun,Georgia
371309,"PAWHUSKA HOSPITAL, INC",74056,Voluntary non-profit - Private,Yes,Not Available,Pawhuska,Oklahoma
461335,BEAVER VALLEY HOSPITAL,84713,Government - State,Yes,Not Available,Beaver,Utah
381303,PROVIDENCE SEASIDE HOSPITAL,97138,Voluntary non-profit - Church,Yes,4,Seaside,Oregon
100131,AVENTURA HOSPITAL AND MEDICAL CENTER,33180,Voluntary non-profit - Private,Yes,2,Aventura,Florida
50438,HUNTINGTON MEMORIAL HOSPITAL,91109,Voluntary non-profit - Other,Yes,4,Pasadena,California
510039,OHIO VALLEY MEDICAL CENTER,26003,Voluntary non-profit - Private,Yes,2,Wheeling,WestVirginia
340141,NEW HANOVER REGIONAL MEDICAL CENTER,28402,Government - Local,Yes,3,Wilmington,NorthCarolina
51306,GLENN MEDICAL CENTER,95988,Government - Federal,Yes,Not Available,Willows,California
241342,ORTONVILLE AREA HEALTH SERVICES,56278,Government - Local,Yes,Not Available,Ortonville,Minnesota
64007,CENTENNIAL PEAKS HOSPITAL,80027,Government - Hospital District or Authority,No,Not Available,Louisville,Colorado
291304,PERSHING GENERAL HOSPITAL,89419,Government - Hospital District or Authority,Yes,Not Available,Lovelock,Nevada
510092,ACUITY SPECIALTY HOSPITAL OF MORGANTOWN,26505,Proprietary,No,Not Available,Morgantown,WestVirginia
171382,ATCHISON HOSPITAL,66002,Voluntary non-profit - Private,Yes,3,Atchison,Kansas
191317,JACKSON PARISH HOSPITAL,71251,Government - Hospital District or Authority,Yes,3,Jonesboro,Louisiana
454026,WEST OAKS HOSPITAL,77074,Proprietary,No,Not Available,Houston,Texas
454127,ROCK SPRINGS,78626,Proprietary,No,Not Available,Georgetown,Texas
111335,LIBERTY REGIONAL MEDICAL CENTER,31310,Government - Hospital District or Authority,Yes,3,Hinesville,Georgia
50204,PALMDALE REGIONAL MEDICAL CENTER,93552,Proprietary,Yes,2,Palmdale,California
60012,"ST MARY CORWIN MED CTR, CENTURA HEALTH",81004,Voluntary non-profit - Church,Yes,3,Pueblo,Colorado
230297,KARMANOS CANCER CENTER,48201,Proprietary,No,2,Detroit,Michigan
240044,WINONA HEALTH SERVICES,55987,Voluntary non-profit - Private,Yes,4,Winona,Minnesota
360079,KETTERING MEDICAL CENTER,45429,Voluntary non-profit - Church,Yes,4,Kettering,Ohio
181315,EPHRAIM MCDOWELL FORT LOGAN HOSPITAL,40484,Voluntary non-profit - Private,Yes,3,Stanford,Kentucky
394039,FIRST HOSPITAL OF WYOMING VALLEY,18704,Proprietary,No,Not Available,Kingston,Pennsylvania
431311,SANFORD HOSPITAL WEBSTER - CAH,57274,Voluntary non-profit - Private,Yes,Not Available,Webster,SouthDakota
41322,FULTON COUNTY HOSPITAL,72576,Voluntary non-profit - Other,Yes,4,Salem,Arkansas
500007,ISLAND HOSPITAL,98221,Government - Hospital District or Authority,Yes,4,Anacortes,Washington
230013,PONTIAC GENERAL HOSPITAL,48341,Proprietary,No,Not Available,Pontiac,Michigan
490009,UNIVERSITY OF VIRGINIA MEDICAL CENTER,22908,Government - State,Yes,2,Charlottesville,Virginia
280128,CHI HEALTH NEBRASKA HEART,68526,Voluntary non-profit - Private,No,5,Lincoln,Nebraska
524001,MILWAUKEE COUNTY BEHAVIORAL HEALTH DIVISION,53226,Government - Local,Yes,Not Available,Milwaukee,Wisconsin
10118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,36701,Proprietary,Yes,2,Selma,Alabama
53304,CHILDREN'S HOSPITAL OF ORANGE COUNTY,92868,Voluntary non-profit - Other,No,Not Available,Orange,California
180093,BAPTIST HEALTH MADISONVILLE,42431,Voluntary non-profit - Private,Yes,3,Madisonville,Kentucky
520030,ASPIRUS WAUSAU HOSPITAL,54401,Proprietary,Yes,3,Wausau,Wisconsin
210065,HOLY CROSS GERMANTOWN HOSPITAL,20876,Voluntary non-profit - Private,Yes,3,Germantown,Maryland
40014,WHITE COUNTY MEDICAL CENTER,72143,Voluntary non-profit - Private,Yes,2,Searcy,Arkansas
370057,MUSCOGEE (CREEK) NATION MEDICAL CENTER,74447,Tribal,Yes,3,Okmulgee,Oklahoma
144037,ELGIN MENTAL HEALTH CENTER,60123,Government - State,No,Not Available,Elgin,Illinois
241315,SANFORD JACKSON MEDICAL CENTER,56143,Voluntary non-profit - Private,Yes,Not Available,Jackson,Minnesota
44006,VALLEY BEHAVIORAL HEALTH SYSTEM,72923,Voluntary non-profit - Other,No,Not Available,Barling,Arkansas
520038,AURORA MEDICAL CTR WASHINGTON COUNTY,53027,Voluntary non-profit - Private,Yes,5,Hartford,Wisconsin
100248,LARGO MEDICAL CENTER,33770,Proprietary,Yes,2,Largo,Florida
360025,FIRELANDS REGIONAL MEDICAL CENTER,44870,Voluntary non-profit - Private,Yes,4,Sandusky,Ohio
370001,HILLCREST MEDICAL CENTER,74104,Proprietary,Yes,1,Tulsa,Oklahoma
100057,ADVENTHEALTH WATERMAN,32778,Voluntary non-profit - Church,No,3,Tavares,Florida
180066,LOGAN MEMORIAL HOSPITAL,42276,Proprietary,Yes,5,Russellville,Kentucky
450563,BAYLOR SCOTT & WHITE MEDICAL CENTER  GRAPEVINE,76051,Voluntary non-profit - Private,Yes,5,Grapevine,Texas
374012,"BROOKHAVEN HOSPITAL, INC",74128,Proprietary,No,Not Available,Tulsa,Oklahoma
241357,ESSENTIA HEALTH FOSSTON,56542,Voluntary non-profit - Private,Yes,Not Available,Fosston,Minnesota
110051,UNION GENERAL HOSPITAL,30512,Government - Hospital District or Authority,Yes,5,Blairsville,Georgia
310040,HOBOKEN UNIVERSITY MEDICAL CENTER,7030,Voluntary non-profit - Church,Yes,1,Hoboken,NewJersey
241364,COMMUNITY MEMORIAL HOSPITAL,55720,Voluntary non-profit - Private,Yes,4,Cloquet,Minnesota
50350,BEVERLY HOSPITAL,90640,Voluntary non-profit - Private,Yes,1,Montebello,California
110184,WELLSTAR DOUGLAS HOSPITAL,30134,Voluntary non-profit - Private,Yes,4,Douglasville,Georgia
30023,FLAGSTAFF MEDICAL CENTER,86001,Voluntary non-profit - Private,Yes,5,Flagstaff,Arizona
160112,SPENCER MUNICIPAL HOSPITAL,51301,Government - Local,Yes,4,Spencer,Iowa
240004,HENNEPIN COUNTY MEDICAL CENTER 1,55415,Government - Local,Yes,2,Minneapolis,Minnesota
231300,PAUL OLIVER MEMORIAL HOSPITAL,49635,Government - Local,Yes,Not Available,Frankfort,Michigan
294012,SEVEN HILLS BEHAVIORAL INSTITUTE,89052,Proprietary,No,Not Available,Henderson,Nevada
141312,ROCHELLE COMMUNITY HOSPITAL,61068,Voluntary non-profit - Private,Yes,Not Available,Rochelle,Illinois
501316,KLICKITAT VALLEY HOSPITAL,98620,Government - Hospital District or Authority,Yes,Not Available,Goldendale,Washington
670107,BAYLOR SCOTT AND WHITE EMERGENCY HOSPITAL BURLESON,76028,Proprietary,Yes,Not Available,Burleson,Texas
330055,NEW YORK-PRESBYTERIAN/QUEENS,11355,Voluntary non-profit - Private,Yes,2,Flushing,NewYork
531316,MEMORIAL HOSPITAL OF CARBON COUNTY,82301,Government - Local,Yes,Not Available,Rawlins,Wyoming
440104,ERLANGER MEDICAL CENTER,37403,Government - Hospital District or Authority,Yes,2,Chattanooga,Tennessee
364052,CLEAR VISTA HEALTH & WELLNESS,44053,Proprietary,No,Not Available,Lorain,Ohio
201312,WALDO COUNTY GENERAL HOSPITAL,4915,Voluntary non-profit - Private,Yes,4,Belfast,Maine
14006,MOUNTAIN VIEW HOSPITAL,35902,Proprietary,No,Not Available,Gadsden,Alabama
140210,HARRISBURG MEDICAL CENTER,62946,Voluntary non-profit - Other,Yes,2,Harrisburg,Illinois
494017,SOUTHERN VIRGINIA MENTAL HEALTH INSTITUTE,24541,Government - State,Yes,Not Available,Danville,Virginia
30024,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,85013,Voluntary non-profit - Church,Yes,2,Phoenix,Arizona
521322,GRANT REGIONAL HEALTH CENTER,53813,Voluntary non-profit - Private,Yes,4,Lancaster,Wisconsin
54123,ST JOSEPH'S BEHAVIORAL HEALTH CENTER,95204,Voluntary non-profit - Private,No,Not Available,Stockton,California
393307,ST CHRISTOPHER'S HOSPITAL FOR CHILDREN,19134,Proprietary,Yes,Not Available,Philadelphia,Pennsylvania
190144,MINDEN MEDICAL CENTER,71055,Proprietary,Yes,3,Minden,Louisiana
370228,"BAILEY MEDICAL CENTER, LLC",74055,Proprietary,Yes,4,Owasso,Oklahoma
390147,MONONGAHELA VALLEY HOSPITAL,15063,Voluntary non-profit - Private,Yes,3,Monongahela,Pennsylvania
271315,P H S INDIAN HOSPITAL-FT BELKNAP AT HARLEM - CAH,59526,Government - Federal,Yes,Not Available,Harlem,Montana
220105,WINCHESTER HOSPITAL,1890,Voluntary non-profit - Private,Yes,4,Winchester,Massachusetts
50235,PROVIDENCE SAINT JOSEPH MEDICAL CTR,91505,Voluntary non-profit - Church,Yes,3,Burbank,California
140197,METHODIST HOSPITAL OF CHICAGO,60640,Voluntary non-profit - Private,Yes,3,Chicago,Illinois
100307,ASCENSION ST VINCENT'S SOUTHSIDE,32216,Voluntary non-profit - Private,Yes,4,Jacksonville,Florida
393303,CHILDREN'S HOSPITAL OF PHILADELPHIA,19104,Voluntary non-profit - Private,Yes,Not Available,Philadelphia,Pennsylvania
251323,SCOTT REGIONAL HOSPITAL CAH,39117,Voluntary non-profit - Private,Yes,4,Morton,Mississippi
143300,ANN & ROBERT H LURIE CHILDRENS HOSPITAL OF CHICAGO,60611,Voluntary non-profit - Private,Yes,Not Available,Chicago,Illinois
453308,OUR CHILDRENS HOUSE,75002,Voluntary non-profit - Church,No,Not Available,Allen,Texas
21311,PEACEHEALTH KETCHIKAN MEDICAL CENTER,99901,Voluntary non-profit - Church,Yes,3,Ketchikan,Alaska
40072,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,72160,Voluntary non-profit - Private,Yes,5,Stuttgart,Arkansas
141324,FERRELL HOSPITAL COMMUNITY FOUNDATIONS,62930,Voluntary non-profit - Private,Yes,3,Eldorado,Illinois
50281,ALHAMBRA HOSPITAL MEDICAL CENTER,91801,Proprietary,No,4,Alhambra,California
271310,GARFIELD COUNTY HEALTH CENTER,59337,Government - Local,Yes,Not Available,Jordan,Montana
10005,MARSHALL MEDICAL CENTERS,35957,Government - Hospital District or Authority,Yes,2,Boaz,Alabama
450638,HCA HOUSTON HEALTHCARE NORTHWEST,77090,Proprietary,Yes,3,Houston,Texas
520177,FROEDTERT MEMORIAL LUTHERAN HOSPITAL,53226,Voluntary non-profit - Private,Yes,4,Milwaukee,Wisconsin
453314,TEXAS SCOTTISH RITE HOSPITAL FOR CHILDREN,75219,Voluntary non-profit - Private,No,Not Available,Dallas,Texas
360218,LICKING MEMORIAL HOSPITAL,43055,Voluntary non-profit - Private,Yes,3,Newark,Ohio
110128,MEADOWS REGIONAL MEDICAL CENTER,30474,Proprietary,Yes,2,Vidalia,Georgia
450007,PETERSON REGIONAL MEDICAL CENTER,78028,Voluntary non-profit - Private,Yes,3,Kerrville,Texas
131316,BEAR LAKE MEMORIAL HOSPITAL,83254,Government - Local,Yes,Not Available,Montpelier,Idaho
41305,MERCY HOSPITAL WALDRON,72958,Voluntary non-profit - Private,Yes,Not Available,Waldron,Arkansas
360132,FORT HAMILTON HUGHES MEMORIAL HOSPITAL,45013,Voluntary non-profit - Private,Yes,4,Hamilton,Ohio
100035,MANATEE MEMORIAL HOSPITAL,34208,Proprietary,Yes,1,Bradenton,Florida
440046,TRISTAR HORIZON MEDICAL CENTER,37055,Proprietary,Yes,3,Dickson,Tennessee
360355,OHIO VALLEY SURGICAL HOSPITAL,45502,Voluntary non-profit - Private,No,Not Available,Springfield,Ohio
231322,CHARLEVOIX AREA HOSPITAL,49720,Voluntary non-profit - Other,Yes,4,Charlevoix,Michigan
210013,"GRACE MEDICAL CENTER, INC",21223,Voluntary non-profit - Private,Yes,2,Baltimore,Maryland
390052,CLEARFIELD HOSPITAL,16830,Voluntary non-profit - Other,Yes,2,Clearfield,Pennsylvania
451320,BAYSIDE COMMUNITY HOSPITAL,77514,Government - Hospital District or Authority,Yes,Not Available,Anahuac,Texas
50537,SUTTER DAVIS HOSPITAL,95616,Voluntary non-profit - Private,Yes,5,Davis,California
50597,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL,91740,Voluntary non-profit - Private,No,3,Glendora,California
10150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,36037,Proprietary,Yes,2,Greenville,Alabama
360002,UNIVERSITY HOSPITALS SAMARITAN MEDICAL CENTER,44805,Voluntary non-profit - Other,No,3,Ashland,Ohio
161367,PELLA REGIONAL HEALTH CENTER,50219,Voluntary non-profit - Private,Yes,4,Pella,Iowa
450370,COLUMBUS COMMUNITY HOSPITAL,78934,Voluntary non-profit - Private,Yes,4,Columbus,Texas
300003,MARY HITCHCOCK MEMORIAL HOSPITAL,3756,Voluntary non-profit - Private,Yes,4,Lebanon,NewHampshire
190041,CHRISTUS HEALTH SHREVEPORT - BOSSIER,71105,Voluntary non-profit - Private,Yes,2,Shreveport,Louisiana
450403,MEDICAL CENTER OF MCKINNEY,75069,Proprietary,Yes,2,McKinney,Texas
360035,MOUNT CARMEL EAST & WEST,43222,Voluntary non-profit - Private,Yes,3,Columbus,Ohio
151333,PUTNAM COUNTY HOSPITAL,46135,Government - Local,Yes,3,Greencastle,Indiana
670109,ALTUS BAYTOWN HOSPITAL,77521,Physician,Yes,Not Available,Baytown,Texas
180017,T J SAMSON COMMUNITY HOSPITAL,42141,Voluntary non-profit - Other,Yes,2,Glasgow,Kentucky
344016,BRYNN MARR HOSP,28540,Government - Federal,Yes,Not Available,Jacksonville,NorthCarolina
453306,COVENANT CHILDRENS HOSPITAL,79410,Voluntary non-profit - Private,Yes,Not Available,Lubbock,Texas
290049,RENOWN SOUTH MEADOWS MEDICAL CENTER,89521,Voluntary non-profit - Private,Yes,4,Reno,Nevada
50014,SUTTER AMADOR HOSPITAL,95642,Voluntary non-profit - Private,Yes,4,Jackson,California
161322,DALLAS COUNTY HOSPITAL,50220,Voluntary non-profit - Other,Yes,Not Available,Perry,Iowa
110064,PIEDMONT COLUMBUS REGIONAL MIDTOWN,31901,Voluntary non-profit - Other,Yes,1,Columbus,Georgia
160032,MERCYONE NEWTON MEDICAL CENTER,50208,Voluntary non-profit - Private,Yes,5,Newton,Iowa
390042,"WASHINGTON HOSPITAL, THE",15301,Voluntary non-profit - Private,Yes,4,Washington,Pennsylvania
281356,PERKINS COUNTY HEALTH SERVICES,69140,Government - Hospital District or Authority,Yes,4,Grant,Nebraska
521327,WAUPUN MEMORIAL HOSPITAL,53963,Voluntary non-profit - Private,Yes,4,Waupun,Wisconsin
190184,CITIZENS MEDICAL CENTER,71418,Government - Hospital District or Authority,Yes,2,Columbia,Louisiana
490024,CARILION MEDICAL CENTER,24014,Voluntary non-profit - Private,Yes,2,Roanoke,Virginia
360189,MADISON HEALTH,43140,Voluntary non-profit - Private,Yes,3,London,Ohio
330219,ERIE COUNTY MEDICAL CENTER,14215,Voluntary non-profit - Private,Yes,3,Buffalo,NewYork
40039,ARKANSAS METHODIST MEDICAL CENTER,72450,Voluntary non-profit - Private,Yes,2,Paragould,Arkansas
50348,UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER,92868,Government - Local,Yes,3,Orange,California
450888,TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHLAKE,76092,Government - State,Yes,Not Available,Southlake,Texas
100167,PLANTATION GENERAL HOSPITAL,33317,Voluntary non-profit - Private,Yes,2,Plantation,Florida
40085,HELENA REGIONAL MEDICAL CENTER,72342,Proprietary,Yes,2,Helena,Arkansas
381309,LAKE DISTRICT HOSPITAL,97630,Government - Hospital District or Authority,Yes,Not Available,LakeView,Oregon
501332,TRI-STATE MEMORIAL HOSPITAL,99403,Voluntary non-profit - Private,Yes,4,Clarkston,Washington
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",35021,Government - Hospital District or Authority,Yes,3,Bessemer,Alabama
360017,GRANT MEDICAL CENTER,43215,Voluntary non-profit - Church,Yes,2,Columbus,Ohio
50305,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,94705,Voluntary non-profit - Private,Yes,5,Berkeley,California
440153,NEWPORT MEDICAL CENTER,37821,Voluntary non-profit - Church,Yes,4,Newport,Tennessee
360236,MERCY HEALTH - CLERMONT HOSPITAL,45103,Voluntary non-profit - Church,No,4,Batavia,Ohio
281344,CHERRY COUNTY HOSPITAL,69201,Government - Local,Yes,3,Valentine,Nebraska
220011,CAMBRIDGE HEALTH ALLIANCE,2138,Government - Local,Yes,4,Cambridge,Massachusetts
500060,CASCADE VALLEY HOSPITAL,98223,Government - Hospital District or Authority,Yes,2,Arlington,Washington
454129,GEORGETOWN BEHAVIORAL HEALTH INSTITUTE,78626,Proprietary,No,Not Available,Georgetown,Texas
54155,"BAKERSFIELD BEHAVIORAL HEALTHCARE HOSPITAL, LLC",93309,Proprietary,No,Not Available,Bakersfield,California
450079,BAYLOR SCOTT & WHITE MEDICAL CENTER AT IRVING,75061,Voluntary non-profit - Private,Yes,4,Irving,Texas
451322,GRIMES ST JOSEPH HEALTH CENTER,77868,Voluntary non-profit - Church,Yes,Not Available,Navasota,Texas
241303,SANFORD TRACY,56175,Voluntary non-profit - Private,Yes,Not Available,Tracy,Minnesota
360148,POMERENE HOSPITAL,44654,Voluntary non-profit - Private,Yes,5,Millersburg,Ohio
161362,CHEROKEE REGIONAL MEDICAL CENTER,51012,Voluntary non-profit - Private,Yes,3,Cherokee,Iowa
250036,GEORGE REGIONAL HEALTH SYSTEM,39452,Government - Local,Yes,3,Lucedale,Mississippi
144010,CHICAGO-READ MENTAL HEALTH CENTER,60634,Government - State,No,Not Available,Chicago,Illinois
370099,HILLCREST HOSPITAL CUSHING,74023,Proprietary,Yes,3,Cushing,Oklahoma
54124,SEMPERVIRENS,95501,Government - Local,No,Not Available,Eureka,California
70029,BRISTOL HOSPITAL,6010,Voluntary non-profit - Private,Yes,3,Bristol,Connecticut
330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,13820,Voluntary non-profit - Private,Yes,2,Oneonta,NewYork
450395,CHI ST LUKES HEALTH MEMORIAL LIVINGSTON,77351,Voluntary non-profit - Private,Yes,3,Livingston,Texas
330350,SUNY/DOWNSTATE UNIVERSITY HOSPITAL OF BROOKLYN,11203,Government - State,Yes,1,Brooklyn,NewYork
381304,SOUTHERN COOS HOSPITAL & HEALTH CENTER,97411,Government - Hospital District or Authority,Yes,Not Available,Bandon,Oregon
140115,THOREK MEMORIAL HOSPITAL,60613,Voluntary non-profit - Private,Yes,3,Chicago,Illinois
34020,HAVEN BEHAVIORAL HOSPITAL OF PHOENIX,85007,Proprietary,No,Not Available,Phoenix,Arizona
450661,ODESSA REGIONAL MEDICAL CENTER,79761,Proprietary,Yes,2,Odessa,Texas
501337,LOURDES MEDICAL CENTER,99301,Voluntary non-profit - Church,Yes,4,Pasco,Washington
361321,"BARNESVILLE HOSPITAL ASSOCIATION, INC",43713,Voluntary non-profit - Private,Yes,3,Barnesville,Ohio
230275,HEALTHSOURCE SAGINAW,48603,Voluntary non-profit - Other,Yes,Not Available,Saginaw,Michigan
330126,GARNET HEALTH MEDICAL CENTER,10940,Voluntary non-profit - Private,Yes,4,Middletown,NewYork
521320,TOMAH MEMORIAL HOSPITAL,54660,Voluntary non-profit - Private,Yes,4,Tomah,Wisconsin
200034,ST MARY'S REGIONAL MEDICAL CENTER,4243,Voluntary non-profit - Church,No,3,Lewiston,Maine
80003,ST FRANCIS HOSPITAL,19805,Voluntary non-profit - Private,Yes,2,Wilmington,Delaware
140182,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,60657,Voluntary non-profit - Private,Yes,3,Chicago,Illinois
520198,AURORA MEDICAL CTR OSHKOSH,54904,Voluntary non-profit - Private,Yes,4,Oshkosh,Wisconsin
450730,BAYLOR SCOTT AND WHITE MEDICAL CENTER CARROLLTON,75010,Proprietary,No,3,Carrollton,Texas
510007,ST MARY'S MEDICAL CENTER,25702,Voluntary non-profit - Church,Yes,4,Huntington,WestVirginia
390237,REGIONAL HOSPITAL OF SCRANTON,18501,Proprietary,Yes,1,Scranton,Pennsylvania
520083,SSM HEALTH ST MARY'S HOSPITAL - MADISON,53715,Voluntary non-profit - Private,Yes,5,Madison,Wisconsin
180149,TJ HEALTH COLUMBIA,42728,Government - Hospital District or Authority,Yes,Not Available,Columbia,Kentucky
161379,MAHASKA  HEALTH PARTNERSHIP,52577,Government - Local,Yes,3,Oskaloosa,Iowa
194091,OCEANS BEHAVIORAL HOSPITAL OF KENTWOOD,70444,Proprietary,No,Not Available,Kentwood,Louisiana
171321,MEADE DISTRICT HOSPITAL,67864,Government - Hospital District or Authority,Yes,4,Meade,Kansas
444014,MIDDLE TN MENTAL HEALTH INSTITUTE,37214,Government - State,No,Not Available,Nashville,Tennessee
261310,SCOTLAND COUNTY  HOSPITAL,63555,Government - Hospital District or Authority,Yes,3,Memphis,Missouri
40011,CHAMBERS MEMORIAL HOSPITAL,72833,Voluntary non-profit - Private,Yes,3,Danville,Arkansas
50127,WOODLAND MEMORIAL HOSPITAL,95695,Voluntary non-profit - Other,Yes,2,Woodland,California
371304,MERCY HOSPITAL TISHOMINGO INC,73460,Voluntary non-profit - Church,Yes,Not Available,Tishomingo,Oklahoma
230071,STRAITH HOSPITAL FOR SPECIAL SURGERY,48033,Voluntary non-profit - Private,No,Not Available,Southfield,Michigan
251325,COVINGTON COUNTY HOSPITAL CAH,39428,Government - Local,Yes,2,Collins,Mississippi
490143,RIVERSIDE DOCTORS' HOSPITAL OF WILLIAMSBURG,23185,Voluntary non-profit - Private,Yes,4,Williamsburg,Virginia
20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,99559,Tribal,Yes,3,Bethel,Alaska
194081,OCEANS BEHAVIORAL HOSPITAL OF DERIDDER,70634,Proprietary,No,Not Available,DeRidder,Louisiana
110043,ST JOSEPH'S HOSPITAL - SAVANNAH,31419,Voluntary non-profit - Private,Yes,3,Savannah,Georgia
170120,LABETTE HEALTH,67357,Government - Local,Yes,5,Parsons,Kansas
241329,LAKEWOOD HEALTH SYSTEM,56479,Voluntary non-profit - Other,Yes,4,Staples,Minnesota
371331,DRUMRIGHT REGIONAL HOSPITAL,74030,Proprietary,Yes,Not Available,Drumright,Oklahoma
251300,S E LACKEY MEMORIAL HOSPITAL,39074,Voluntary non-profit - Private,Yes,3,Forest,Mississippi
440125,FORT SANDERS REGIONAL MEDICAL CENTER,37916,Voluntary non-profit - Private,Yes,2,Knoxville,Tennessee
270057,BOZEMAN HEALTH DEACONESS HOSPITAL,59715,Voluntary non-profit - Private,Yes,4,Bozeman,Montana
260004,COOPER COUNTY COMMUNITY  HOSPITAL,65233,Voluntary non-profit - Other,Yes,3,Boonville,Missouri
171304,ASHLAND HEALTH CENTER,67831,Voluntary non-profit - Other,Yes,Not Available,Ashland,Kansas
281339,MEMORIAL HEALTH CARE SYSTEMS,68434,Voluntary non-profit - Private,Yes,3,Seward,Nebraska
60107,NATIONAL JEWISH HEALTH,80206,Voluntary non-profit - Private,Yes,Not Available,Denver,Colorado
180025,FLAGET MEMORIAL HOSPITAL,40004,Voluntary non-profit - Private,Yes,3,Bardstown,Kentucky
231312,SHERIDAN COMMUNITY HOSPITAL,48884,Voluntary non-profit - Private,Yes,Not Available,Sheridan,Michigan
191320,BIENVILLE MEDICAL CENTER,71001,Proprietary,Yes,Not Available,Arcadia,Louisiana
360098,LAKE HEALTH,44077,Voluntary non-profit - Private,Yes,3,Concord,Ohio
670076,BAYLOR SCOTT AND WHITE SURGICAL HOSPITAL AT SHERMA,75090,Physician,Yes,Not Available,Sherman,Texas
501319,ARBOR HEALTH MORTON HOSPITAL,98356,Government - Hospital District or Authority,Yes,Not Available,Morton,Washington
161307,HANCOCK COUNTY HEALTH SYSTEM,50423,Government - Local,Yes,4,Britt,Iowa
341315,CAPE FEAR VALLEY-BLADEN COUNTY HOSPITAL,28337,Voluntary non-profit - Private,Yes,3,Elizabethtown,NorthCarolina
494021,WESTERN STATE HOSPITAL,24402,Government - State,Yes,Not Available,Staunton,Virginia
110011,TANNER MEDICAL CENTER - CARROLLTON,30117,Government - Hospital District or Authority,Yes,2,Carrollton,Georgia
170086,STORMONT VAIL HOSPITAL,66604,Voluntary non-profit - Private,Yes,3,Topeka,Kansas
70036,JOHN DEMPSEY HOSPITAL,6032,Government - Local,Yes,3,Farmington,Connecticut
110030,CARTERSVILLE MEDICAL CENTER,30120,Voluntary non-profit - Private,Yes,3,Cartersville,Georgia
364055,SOJOURN AT SENECA,44883,Voluntary non-profit - Private,No,Not Available,Tiffin,Ohio
111329,ST. MARY'S GOOD SAMARITAN HOSPITAL,30642,Proprietary,Yes,4,Greensboro,Georgia
140040,GALESBURG COTTAGE HOSPITAL,61401,Proprietary,Yes,2,Galesburg,Illinois
